string,label
"""This patient has a pituitary adenoma, the most common form of which is a prolactinoma that can cause **hyperprolactinemia**. Hyperprolactinemia results in **hypogonadotropic hypogonadism** because prolactin inhibits the synthesis and release of gonadotropin-releasing hormone (GnRH), which results in decreased secretion of follicle-stimulating hormone (FSH) and luteinizing hormone (LH). In men, decreased concentrations of LH result in decreased production of testosterone in testicular Leydig cells. The resulting manifestations include **erectile dysfunction**, **decreased libido**, **reduced testicular volume**, **infertility**, **gynecomastia**, and **loss of axillary hair**. The visual deficits caused by a growing pituitary adenoma develop very gradually as the mass grows and compresses that optic chiasm (causing bitemporal hemianopia) and the oculomotor nerve (causing diplopia).  
",1
"See “**Clinical features of hyperprolactinemia**” table.""
",1
"""**Rupture** of the **flexor digitorum profundus** (FDP) **tendon**, also known as “jersey finger,” is a common sports injury and most commonly affects the right ring finger. The FDP, along with the flexor digitorum superficialis (FDS), is responsible for finger flexion. The tendons from the FDP muscle run through the carpal tunnel and insert on the palmar side of the distal phalanges of each finger, whereas the FDS tendons insert on the middle phalanx. This patient's **inability to flex** the DIP combined with the pain over the DIP joint, which is distal to the attachment of the FDS, indicate that he has ruptured his FDP tendon.""
",1
"""A **liver hematoma** commonly results from **blunt abdominal trauma** such as falls. This patient has the typical features of liver injury, including **ecchymoses over the right chest**, pain in the right upper quadrant and the right chest, **referred pain to the right shoulder** (due to diaphragmatic irritation), and hemodynamic instability. After stabilizing this patient, a focused assessment with sonography in trauma (FAST) should be performed to assess for free fluid in the abdomen.""
",1
"""According to the **transtheoretical model**, individuals in the “**contemplation stage**” of behavioral change acknowledge that there is a problem but have **not yet committed to making a change**. In this phase, patients with substance abuse perceive that their addiction may be a cause for concern or a reason to change. They might also consider the possibility of a change. However, patients remain ambivalent and continue their use because they are not ready to make concrete preparations to change.""
",1
"""A degenerative process of the frontal cortex is seen in **frontotemporal dementia** (FTD). The frontal lobes are involved in many aspects of cognition and behavior, including personality, emotion, judgment, voluntary movement, problem-solving, and attention. FTD can manifest with **changes in personality**, **disruptive social behavior**, and **aphasia**, as seen in this patient. Symptoms appearing later in the course of the disease include parkinsonism, disorientation, and memory impairment.""
",1
"""**Increased dopaminergic transmission** has been observed in the early phases of Huntington disease leading to **hyperkinetic movements**, as seen in this patient. Huntington disease involves selective degeneration of medium spiny neurons in the caudate and putamen, preferentially affecting the indirect pathway of the basal ganglia in the early stages of the disease. In the late phase of HD, there is dopamine depletion, which leads to the development of bradykinesia and rigidity.""
",1
"""Venlafaxine is a serotonin-norepinephrine reuptake inhibitor used to treat unipolar depressive disorder. **Antidepressant monotherapy** (especially venlafaxine and tricyclic antidepressants) in a patient with undiagnosed underlying **bipolar disorder** increases the **risk of developing hypomania or mania**. Prior to beginning antidepressant therapy, patients with MDD should be assessed for a history of hypomanic or manic episodes to rule out bipolar disorder.  
",1
"Discontinuation of venlafaxine and treatment with an antipsychotic drug is warranted in this patient. Moreover, following remission of his manic episode, he should be started on maintenance therapy with a mood stabilizer (e.g., lithium, valproic acid). If indicated, antidepressants may be used after initiating mood stabilizers.""
",1
"""**Lamotrigine** is an antiepileptic drug with **mood-stabilizing** properties that is used to **treat bipolar disorder**. It is one of the **most commonly implicated triggers of SJS**. Most cases of SJS develop within 2–8 weeks of initiating the offending medication. The risk of developing SJS induced by lamotrigine therapy is greatest when high doses are used, so the initial dose should be low and increased slowly. In addition, about 10% of patients treated with lamotrigine develop a benign skin rash that is difficult to differentiate from early SJS; accordingly, all patients should be advised to discontinue lamotrigine therapy at the first sign of a rash. Other commonly implicated triggers of SJS include allopurinol, sulfamethoxazole, sulfa drugs, and phenobarbital. Other antiepileptic drugs, such as phenytoin, carbamazepine, and ethosuximide, can also cause SJS but are less frequently implicated than lamotrigine.""
",1
"""The patient developed akathisia (restlessness), a common extrapyramidal symptom that typically occurs 1–8 weeks after the initiation of antipsychotic therapy. The initial management of akathisia consists of switching to an antipsychotic drug with a lower risk of extrapyramidal symptoms (as was done for this patient) or lowering the dose of the prescribed antipsychotic. When compared to high-potency typical antipsychotics (e.g., haloperidol, fluphenazine, trifluoperazine), **low-potency typical antipsychotics** (e.g., chlorpromazine, thioridazine) have a **lower risk of** **extrapyramidal symptoms**. However, low-potency typical antipsychotics are associated with a **higher risk of** **anticholinergic** effects (e.g., blurred vision, dry mouth) and **antihistaminergic** effects (e.g., drowsiness), as observed in this patient. Additional **α-1 receptor blockade** effects may cause orthostatic hypotension.  
",1
"See “Overview of adverse effects of antipsychotics” table.""
",1
"""**PDE-5 inhibitors** (e.g., sildenafil) are commonly used to treat erectile dysfunction. Under normal circumstances, nitric oxide binds to guanylate cyclase and increases levels of cGMP, a nucleotide that causes smooth muscle relaxation. PDE\-5 degrades cGMP, terminating this vasodilatory effect. By **preventing the breakdown of cGMP**, PDE-5 inhibitors cause smooth muscle relaxation in the penis and **increased blood flow to** the **corpus cavernosum**.  
",1
"PDE-5 inhibitors can also be used to decrease pulmonary vascular resistance in patients with pulmonary hypertension.""
",1
"""Dysplastic cells **extending into the lamina propria** indicate an **invasive tumor** (T1 stage), which carries a **worse prognosis** than a tumor that does not invade the lamina propria (T_is_ or tumor _in situ_). Bladder cancer is most common in men > 65 years and in those who have a history of nicotine abuse or exposure to carcinogens (e.g., aniline dye, azo dye, heavy metals). It usually presents with gross hematuria with irritative voiding symptoms, both of which are seen in this patient. Invasive tumors must be resected.""
",1
"""**Impotence** is common in men with hyperprolactinemia, which causes hypogonadotropic hypogonadism. **Prolactin** **inhibits** the synthesis and release of **GnRH**, which results in low levels of FSH and LH secretion. **Low** levels of **LH** lead to **low** production of **testosterone** in testicular Leydig cells. In men, the lack of testosterone can cause erectile dysfunction, decreased libido, reduced testicular volume, impaired fertility, and loss of axillary hair. Pituitary macroadenomas may cause headaches and bitemporal hemianopia due to compression of the surrounding structures (e.g., optic chiasm).""
",1
"""**Misdirected growth of the genital tubercle** in the posterior (rather than superior) direction during the 5<sup>th</sup> week of gestation results in epispadias. It is very rare for bladder exstrophy to occur without epispadias, but epispadias can occur without bladder exstrophy.""
",1
"""A **cerebral saccular aneurysm** can occur in up to 20% of patients with ADPKD. Other extrarenal manifestations of ADPKD include multiple **hepatic cysts** (in up to 70% of cases), **hypertension** (which is present in this patient), and **mitral valve prolapse**. This patient's low-grade fever is likely due to another urinary tract infection.""
",1
"""In this patient, **bilateral occlusion** of the urinary system due to post-surgical adhesions increases intraluminal ureteral pressure, which leads to **increased hydrostatic pressure** in the renal tubules and Bowman capsule. Because the glomerular hydrostatic pressure is unable to overcome this increase in the tubular hydrostatic pressure there is a **reduction** in the net **glomerular filtration rate** (GFR), as manifested by this patient's **elevated** serum **creatinine**. Sustained elevation of intratubular pressure can cause compression of surrounding renal blood vessels, which ultimately can lead to ischemic tubular atrophy, thinning of the renal cortex and medulla, and irreversible loss of renal function.""
",1
"""**Calcium oxalate stones**, which are the most common type of renal stones, are **radiopaque** and associated with **envelope- or dumbbell-shaped crystals** on urinalysis. Risk factors for calcium oxalate stones include acidification of urine (e.g., excessive vitamin C intake), hypocitraturia (also often associated with decreased urine pH), hyperoxaluria due to excessive dietary intake of vegetables containing oxalate (e.g. beets, beans, spinach), gastrointestinal malabsorption (e.g., Crohn disease), and ethylene glycol poisoning. This patient's consumption of multivitamin tablets could have contributed to the development of a calcium oxalate stone. Small calcium oxalate stones can be treated medically with potassium citrate (to alkalinize the urine and increase urinary citrate), thiazide diuretics (to decrease calcium excretion in urine), and a low-sodium diet (to increase sodium and calcium reabsorption in the proximal convoluted tubule).  
",1
"See “Overview of kidney stones” table.""
",1
"""**Cutis aplasia** is characteristic of trisomy 13 (Patau syndrome). Other externally visible clinical features include **microcephaly**, cleft lip and **cleft palate**, **microphthalmia**, **polydactyly**, and **rocker-bottom feet**. Patients have approximately an 80% risk of having congenital heart defects (particularly ventricular septal defect and patent ductus arteriosus) and often visceral and genital anomalies (especially the kidneys and ureter).  
",1
"First trimester screening for Trisomy 13 shows increased nuchal translucency on ultrasound, as well as serum levels of decreased β-hCG concentration and significantly decreased levels of PAPP-A. Only 5% of infants with trisomy 13 survive past 6 months of age.""
",1
"""**Atrioventricular septal defects** (AVSD; also referred to as endocardial cushion defects) are the **most common congenital heart defects** in patients with Down syndrome, occurring in about 40% of newborns with trisomy 21. AVSDs are usually diagnosed in the prenatal period, and discovery of an AVSD should warrant prompt genetic testing, as there is a strong association with trisomy 21. Down syndrome is diagnosed in approx. 40–50% of children with AVSD.""
",1
"""A defect in the **NADPH oxidase complex** is seen in individuals with chronic granulomatous disease. This enzyme complex **converts oxygen to superoxide radicals**, which are vitally important for the neutrophilic respiratory burst. In healthy individuals, the addition of colorless nitroblue tetrazolium (NBT) to a blood sample would cause the reduction of NBT to a deep blue compound through the action of superoxide radicals. A defect in NADPH oxidase leads to a deficiency of superoxide production by PMNs and macrophages. This deficiency significantly reduces the ability of PMNs and macrophages to kill microorganisms, thus leading to recurrent infections.  
",1
"The nitroblue tetrazolium test used to be the gold standard to test phagocytic oxidase activity, but it has been widely replaced by the dihydrorhodamine flow cytometry test.""
",1
"""In **sickle cell trait**, only one allele of the β-globin gene carries the point substitution of glutamic acid to valine, while the other allele is normal, producing hemoglobin AS (HbAS). While individuals with sickle cell trait are usually asymptomatic, they benefit from heterozygous advantage, which confers **resistance to malaria** and explains its high frequency in some African populations. While the exact mechanism of resistance is not well understood, it is likely due to impaired parasite growth within RBCs and accelerated sickling of infected RBCs.""
",1
"""Cerebral venous thrombosis is most likely to be associated with this patient's genetic mutation. **Factor V Leiden** accounts for > 90% of **activated protein C** (APC) **resistance** and is caused by a point mutation in the factor V gene that leads to an amino acid substitution that renders factor V resistant to inactivation by APC. Normally, APC inactivates factor V in the clotting cascade and decreases the activation of thrombin. However, in patients with this defect, factor V remains active, activates prothrombin, and increases the risk of thrombotic events. **Venous thromboembolism**, most commonly DVT or PE, can be seen in patients with factor V Leiden. Cerebral venous thrombosis can also occur, particularly in women that use oral contraceptives.""
",1
"""Most sporadic cases of colorectal carcinoma arise from the **chromosomal instability pathway** (i.e., the adenoma-carcinoma sequence). In this pathway, a loss-of-function mutation of the **tumor suppressor gene** **_APC_** results in decreased intercellular adhesion and increased epithelial proliferation. Next, a gain-of-function mutation in the **_KRAS_ proto-oncogene** results in unregulated cellular signaling and cellular proliferation, which predisposes to adenoma formation. Finally, loss-of-function mutations of additional tumor suppressor genes (e.g., **_TP53_**, **_DCC_**) results in malignant transformation of an adenoma to a carcinoma.  
",1
"Gain-of-function mutations in _KRAS_ are also associated with lung cancer and pancreatic cancer.""
",1
"""**Hamartomatous polyps** are the most likely type to be found in this patient with PJS, a condition that is characterized by numerous hamartomatous colonic polyps, **mucocutaneous hyperpigmentation**, and an increased risk of **gastrointestinal malignancy**. In PJS, polyps commonly occur in the small intestine but can be found in any part of the GI tract. Although hamartomas are often benign, a small risk of malignant transformation is present. On histopathology, hamartomas contain a proliferation of smooth muscle extending into the lamina propria with normal overlying epithelium.""
",1
"""Lynch syndrome is associated with **instability of short tandem DNA repeats** (microsatellites) due to germline mutations in **DNA mismatch repair genes** (e.g., _MLH1_, _MSH2_, and _MSH6_). Patients with Lynch syndrome have an increased lifetime risk for multiple malignancies including colorectal, endometrial, gastric, urothelial, and ovarian cancers.""
",1
"""This patient has **more severe manifestations of disease** than his father or grandfather, and at a younger age. This phenomenon, called **anticipation** (genetics), is common in **trinucleotide repeat disorders** such as myotonic dystrophy type I, Huntington disease, and fragile X syndrome. Trinucleotide repeat expansion leads to increasing numbers of repeated sequences of trinucleotides in each generation, which in turn causes greater defects in the affected genes and earlier onset of associated symptoms.""
",1
"""FA is characterized by the progressive degeneration of the spinocerebellar tract, lateral corticospinal tract, dorsal column, and dorsal root ganglia due to intramitochondrial accumulation of iron. Degeneration of the spinocerebellar tract can result in **cerebellar signs** such as ataxia, nystagmus, and dysarthria. Degeneration of the lateral corticospinal tract causes **spasticity**, which can result in deformities such as hammer toe, pes cavus, and kyphoscoliosis. Despite the presence of spasticity, patients often have **decreased deep tendon reflexes** due to the damage to dorsal root ganglia and the dorsal column. Dorsal column damage also causes **impaired proprioception** (which contributes to ataxia) as well as impaired **vibration sense**. Patients with FA will eventually develop diabetes mellitus and hypertrophic cardiomyopathy, which is the most common cause of death in FA.""
",1
"""**Degeneration of muscle fibers** with **fibrofatty replacement** is the underlying pathology of muscular dystrophies such as Duchenne muscular dystrophy. Muscle fiber degeneration occurs due to dystrophin gene mutations, which lead to alterations of the **dystrophin protein**. Complete impairment of dystrophin results in disturbance of cellular signaling pathways, which promotes necrosis in these cells. Subsequently, these muscle cells are replaced with connective and fat tissue and the muscle appears larger (calf pseudohypertrophy).""
",1
"""The absence of dystrophin protein results in **Duchenne muscular dystrophy** (DMD), an X-linked recessive disorder. DMD is diagnosed by testing muscle enzymes like creatine kinase (which are typically elevated), genetic analysis for the **dystrophin gene**, and muscle biopsy if genetic analysis is inconclusive. Complications of DMD already arise during adolescence and include dilated cardiomyopathy, cardiac arrhythmias, and respiratory insufficiency.""
",1
"""**Hearing loss** occurs in patients with OI as a result of bone formation defects such as **otosclerosis** and **ossicle fractures and atrophy**. Autosomal dominant mutations in the _COL1A1_ or _COL1A2_ genes, which encode the alpha chains of type I collagen, are responsible for most cases of OI. The severe subtypes (types II, III) of OI are usually due to a new (sporadic) mutation in one of these genes, while patients with the mild forms (types I, IV) typically have a parent with the condition. Additional findings in patients with OI include **blue sclerae** (due to choroidal veins appearing through the overlying thin sclerae), easy **bruising**, and **brittle, opalescent teeth**.  
",1
"In this patient, the described irregular bones around the cranial sutures are indicative of **wormian bones**. Excessive amounts (> 10) of wormian bones are a feature of OI.""
",1
"""Wilson disease is an **autosomal recessive** disorder that results from mutations in the **_ATP7B_ gene**, which encodes for a membrane-bound, copper\-transporting ATPase associated with the biliary excretion of copper. Since **both parents are carriers**, there is a 50% chance that each one of them will pass on the defective allele. Therefore, the offspring has an overall **25%** probability of developing the condition (0.5 × 0.5 = 0.25).""
",1
"""Cystathionine synthase deficiency causes **homocystinuria**, which is consistent with this patient who presents with **marfanoid habitus**, a high-arched palate, **inferior lens dislocation**, **hyperelastic skin**, and **hypermobile joints.** This boy's delay in language, block-building, and drawing abilities may indicate **intellectual disability**, another feature that is often observed in patients with cystathionine synthase deficiency**.**  
",1
"A deficiency in this enzyme leads to excessive homocysteine in the blood and urine; the addition of sodium nitroprusside will turn these patients' urine a deep red color, confirming the presence of homocysteine and the diagnosis. Homocystinuria due to cystathionine synthase deficiency is treated with a **low methionine, high cysteine diet**, and **supplementation with vitamin B<sub>12</sub> and folate** (vitamin B<sub>9</sub>). Some patients respond well to large doses of pyridoxine (vitamin B<sub>6</sub>). Homocystinuria is a major risk factor for the development of atherosclerosis and thrombotic events (specifically, myocardial infarction and stroke).""
",1
"""Diseases caused by mutations in mitochondrial DNA (mtDNA), such as MELAS syndrome in this patient, can only be passed onto offspring from the mother because **mtDNA is maternally inherited**. A woman transmits the pathogenic variants in mtDNA to all of her offspring. However, patients with MELAS syndrome usually show **heteroplasmy**, which explains the son's and daughter's different presentation.""
",1
"""**Defective oxidative phosphorylation** occurs in patients with **myoclonic epilepsy with ragged red fibers** (MERRF) due to point mutations in mitochondrial DNA that result in dysfunction of proteins in the electron transport chain. Like other conditions that follow **mitochondrial inheritance**, MERRF has **variable expression** within families due to heteroplasmy. As a result, some patients with MERRF are asymptomatic. Other patients develop symptoms in early childhood (as seen in this patient's brother), or adolescence (as seen in this patient).""
",1
"""**No treatment is required** for patients with essential fructosuria, a benign disorder of fructose metabolism caused by the deficiency of fructokinase, which converts fructose to fructose-1-phosphate. Although fructokinase deficiency can lead to detectable fructose in the blood and urine, the condition has **no clinical consequences**, as hexokinase shunts excess fructose back into the glycolytic pathway by converting fructose directly to fructose-6-phosphate.""
",1
"""Autosomal dominant polycystic kidney disease (ADPKD) results from a mutation in the **PKD-1 gene** on the short arm of **chromosome 16** (approx. 85% of cases) or a mutation in the **PKD-2 gene** on the long arm of **chromosome 4** (approx. 15% of cases). Other conditions associated with ADPKD include berry aneurysms, mitral valve prolapse, and diverticulosis.""
",1
"""Epoxide reductase results in the formation of reduced vitamin K, which is essential for activation of both procoagulant factors II, VII, IX, X as well as the anticoagulants protein C and protein S. Of these vitamin K-dependent factors, factors IIa and Xa have long half-lives. Protein C and factor VIIa, on the other hand, have the shortest half-lives and are thus the first components to be depleted following epoxide reductase inhibition. Despite an early increase in PT and INR caused by decreased VIIa (extrinsic pathway factor), the patient is initially in a **hypercoagulable state** because **decreased active protein C** levels cause **increased activity** of **VIIIa** (intrinsic pathway factor) and **Va** (common pathway factor). This hypercoagulable state can result in **intravascular microthrombosis**, which can cut off blood supply to the skin and cause **necrosis**, as seen in this patient.""
",1
"""**Reduced levels of protein C** can be caused by warfarin. When warfarin therapy is initiated, the levels of anticoagulative protein C and protein S are diminished before the vitamin K-dependent factors II, VII, IX, X. This results in a transient state of **hypercoagulability**, during which time patients are at risk of thrombosis and warfarin-induced skin necrosis.""
",1
"""**Duplex ultrasonography** (compression ultrasonography) is the **first-line** investigation in patients with features suggestive of CVI, as seen here. Evidence of **venous reflux** on duplex ultrasonography **confirms the diagnosis** of CVI. Duplex ultrasonography can help determine the course of treatment by identifying which valves are incompetent and assessing the patency of the previously thrombosed deep veins.""
",1
"""The **hypodermis** (subcutis) is the **deepest layer** of the skin, and melanoma mortality is directly correlated with tumor thickness. Due to variability in the thickness of skin compartments among different individuals, tumor thickness does not always correspond with skin layer invasion. However, in this patient, it is likely that a tumor extending into the hypodermis is thicker than a tumor in a more superficial layer. **Breslow depth** is the most important prognostic factor used for melanoma staging and to determine the safety margin of a full-thickness incision.""
",1
